#  %C   command line and arguments
#  %c   involuntary context switches
#  %E   elapsed real time (wall clock) in [hour:]min:sec
#  %e   elapsed real time (wall clock) in seconds
#  %F   major page faults
#  %M   maximum resident set size in KB
#  %P   percent of CPU this job got
#  %R   minor page faults
#  %S   system (kernel) time in seconds
#  %U   user time in seconds
#  %w   voluntary context switches
#  %x   exit status of command
# %C ; %c ; %E ; %e ; %F ; %M ; %P ; %R ; %R ; %S ; %U ; %w ; %x
cyclonedx-py environment -o /dev/null --pyproject tests/_data/infiles/environment/local/pyproject.toml tests/_data/infiles/environment/local/.venv ; 45 ; 0:01.55 ; 1.55 ; 0 ; 35452 ; 99% ; 8069 ; 8069 ; 0.13 ; 1.41 ; 5 ; 0
cyclonedx-py environment -o /dev/null --pyproject tests/_data/infiles/environment/no-deps/pyproject.toml tests/_data/infiles/environment/no-deps/.venv ; 40 ; 0:01.50 ; 1.50 ; 0 ; 35968 ; 99% ; 8276 ; 8276 ; 0.12 ; 1.38 ; 5 ; 0
cyclonedx-py environment -o /dev/null --pyproject tests/_data/infiles/environment/via-pipenv/pyproject.toml tests/_data/infiles/environment/via-pipenv/.venv ; 41 ; 0:01.43 ; 1.43 ; 0 ; 36012 ; 99% ; 8298 ; 8298 ; 0.13 ; 1.30 ; 5 ; 0
cyclonedx-py environment -o /dev/null --pyproject tests/_data/infiles/environment/via-poetry/pyproject.toml tests/_data/infiles/environment/via-poetry/.venv ; 24 ; 0:01.57 ; 1.57 ; 0 ; 36100 ; 99% ; 8299 ; 8299 ; 0.12 ; 1.45 ; 5 ; 0
cyclonedx-py environment -o /dev/null --pyproject tests/_data/infiles/environment/with-extras/pyproject.toml tests/_data/infiles/environment/with-extras/.venv ; 24 ; 0:01.89 ; 1.89 ; 0 ; 36396 ; 99% ; 8312 ; 8312 ; 0.12 ; 1.76 ; 6 ; 0
cyclonedx-py environment -o /dev/null --pyproject tests/_data/infiles/environment/with-urls/pyproject.toml tests/_data/infiles/environment/with-urls/.venv ; 12 ; 0:01.43 ; 1.43 ; 0 ; 35580 ; 99% ; 8065 ; 8065 ; 0.12 ; 1.30 ; 5 ; 0
cyclonedx-py pipenv -o /dev/null --pyproject tests/_data/infiles/pipenv/category-deps/pyproject.toml tests/_data/infiles/pipenv/category-deps ; 58 ; 0:01.26 ; 1.26 ; 0 ; 34312 ; 99% ; 6674 ; 6674 ; 0.12 ; 1.13 ; 1 ; 0
cyclonedx-py pipenv -o /dev/null --pyproject tests/_data/infiles/pipenv/default-and-dev/pyproject.toml tests/_data/infiles/pipenv/default-and-dev ; 64 ; 0:01.19 ; 1.19 ; 0 ; 34136 ; 99% ; 6672 ; 6672 ; 0.09 ; 1.09 ; 0 ; 0
cyclonedx-py pipenv -o /dev/null --pyproject tests/_data/infiles/pipenv/editable-self/pyproject.toml tests/_data/infiles/pipenv/editable-self ; 56 ; 0:01.50 ; 1.50 ; 0 ; 34320 ; 99% ; 6676 ; 6676 ; 0.13 ; 1.36 ; 1 ; 0
cyclonedx-py pipenv -o /dev/null --pyproject tests/_data/infiles/pipenv/local/pyproject.toml tests/_data/infiles/pipenv/local ; 73 ; 0:01.44 ; 1.44 ; 0 ; 34364 ; 99% ; 6677 ; 6677 ; 0.11 ; 1.32 ; 1 ; 0
cyclonedx-py pipenv -o /dev/null --pyproject tests/_data/infiles/pipenv/no-deps/pyproject.toml tests/_data/infiles/pipenv/no-deps ; 38 ; 0:01.49 ; 1.49 ; 0 ; 35128 ; 98% ; 6881 ; 6881 ; 0.11 ; 1.36 ; 0 ; 0
cyclonedx-py pipenv -o /dev/null --pyproject tests/_data/infiles/pipenv/private-packages/pyproject.toml tests/_data/infiles/pipenv/private-packages ; 182 ; 0:01.47 ; 1.47 ; 0 ; 34364 ; 99% ; 6679 ; 6679 ; 0.15 ; 1.30 ; 1 ; 0
cyclonedx-py pipenv -o /dev/null --pyproject tests/_data/infiles/pipenv/with-extras/pyproject.toml tests/_data/infiles/pipenv/with-extras ; 44 ; 0:01.50 ; 1.50 ; 0 ; 34620 ; 99% ; 6720 ; 6720 ; 0.13 ; 1.36 ; 1 ; 0
cyclonedx-py pipenv -o /dev/null --pyproject tests/_data/infiles/pipenv/with-urls/pyproject.toml tests/_data/infiles/pipenv/with-urls ; 44 ; 0:01.31 ; 1.31 ; 0 ; 34408 ; 99% ; 6695 ; 6695 ; 0.12 ; 1.18 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/group-deps/lock11 ; 16 ; 0:01.37 ; 1.37 ; 0 ; 34604 ; 99% ; 6712 ; 6712 ; 0.10 ; 1.26 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/group-deps/lock20 ; 22 ; 0:01.36 ; 1.36 ; 0 ; 34396 ; 99% ; 6713 ; 6713 ; 0.10 ; 1.25 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/local/lock10 ; 10 ; 0:01.17 ; 1.17 ; 0 ; 34204 ; 99% ; 6677 ; 6677 ; 0.09 ; 1.08 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/local/lock11 ; 10 ; 0:01.24 ; 1.24 ; 0 ; 34452 ; 99% ; 6681 ; 6681 ; 0.09 ; 1.14 ; 0 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/local/lock20 ; 6 ; 0:01.22 ; 1.22 ; 0 ; 34464 ; 100% ; 6683 ; 6683 ; 0.08 ; 1.13 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/main-and-dev/lock10 ; 12 ; 0:01.22 ; 1.22 ; 0 ; 34380 ; 99% ; 6710 ; 6710 ; 0.12 ; 1.09 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/main-and-dev/lock11 ; 21 ; 0:01.30 ; 1.30 ; 0 ; 34444 ; 99% ; 6712 ; 6712 ; 0.11 ; 1.18 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/main-and-dev/lock20 ; 11 ; 0:01.31 ; 1.31 ; 0 ; 34600 ; 99% ; 6708 ; 6708 ; 0.10 ; 1.20 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/no-deps/lock20 ; 46 ; 0:01.26 ; 1.26 ; 0 ; 35304 ; 99% ; 6895 ; 6895 ; 0.10 ; 1.15 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/private-packges/lock10 ; 40 ; 0:01.32 ; 1.32 ; 0 ; 34248 ; 99% ; 6683 ; 6683 ; 0.12 ; 1.19 ; 0 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/private-packges/lock11 ; 48 ; 0:01.58 ; 1.58 ; 0 ; 34772 ; 99% ; 6790 ; 6790 ; 0.11 ; 1.46 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/private-packges/lock20 ; 27 ; 0:01.47 ; 1.47 ; 0 ; 34628 ; 99% ; 6787 ; 6787 ; 0.10 ; 1.35 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/regression-issue611/lock20 ; 13 ; 0:01.24 ; 1.24 ; 0 ; 34460 ; 99% ; 6675 ; 6675 ; 0.11 ; 1.13 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/with-extras/lock10 ; 24 ; 0:01.36 ; 1.36 ; 0 ; 34216 ; 99% ; 6704 ; 6704 ; 0.10 ; 1.25 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/with-extras/lock11 ; 18 ; 0:01.31 ; 1.31 ; 0 ; 34864 ; 99% ; 6832 ; 6832 ; 0.11 ; 1.19 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/with-extras/lock20 ; 73 ; 0:01.41 ; 1.41 ; 0 ; 35300 ; 99% ; 6888 ; 6888 ; 0.12 ; 1.28 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/with-urls/lock10 ; 18 ; 0:01.37 ; 1.37 ; 0 ; 34492 ; 99% ; 6695 ; 6695 ; 0.10 ; 1.26 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/with-urls/lock11 ; 59 ; 0:01.30 ; 1.30 ; 0 ; 34476 ; 99% ; 6693 ; 6693 ; 0.09 ; 1.20 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/with-urls/lock20 ; 26 ; 0:01.33 ; 1.33 ; 0 ; 34328 ; 99% ; 6694 ; 6694 ; 0.11 ; 1.20 ; 1 ; 0
cyclonedx-py requirements --pyproject tests/_data/infiles/requirements/pyproject.toml -o /dev/null tests/_data/infiles/requirements/frozen.txt ; 23 ; 0:01.48 ; 1.48 ; 0 ; 36416 ; 98% ; 7214 ; 7214 ; 0.10 ; 1.37 ; 1 ; 0
cyclonedx-py requirements --pyproject tests/_data/infiles/requirements/pyproject.toml -o /dev/null tests/_data/infiles/requirements/local.txt ; 24 ; 0:01.39 ; 1.39 ; 0 ; 36212 ; 99% ; 7214 ; 7214 ; 0.11 ; 1.27 ; 1 ; 0
cyclonedx-py requirements --pyproject tests/_data/infiles/requirements/pyproject.toml -o /dev/null tests/_data/infiles/requirements/nested.txt ; 23 ; 0:01.30 ; 1.30 ; 0 ; 36368 ; 99% ; 7215 ; 7215 ; 0.12 ; 1.18 ; 0 ; 0
cyclonedx-py requirements --pyproject tests/_data/infiles/requirements/pyproject.toml -o /dev/null tests/_data/infiles/requirements/private-packages.txt ; 32 ; 0:01.44 ; 1.44 ; 0 ; 36260 ; 99% ; 7214 ; 7214 ; 0.10 ; 1.33 ; 1 ; 0
cyclonedx-py requirements --pyproject tests/_data/infiles/requirements/pyproject.toml -o /dev/null tests/_data/infiles/requirements/with-comments.txt ; 14 ; 0:01.47 ; 1.47 ; 0 ; 36348 ; 99% ; 7216 ; 7216 ; 0.15 ; 1.32 ; 1 ; 0
cyclonedx-py requirements --pyproject tests/_data/infiles/requirements/pyproject.toml -o /dev/null tests/_data/infiles/requirements/with-extras.txt ; 19 ; 0:01.31 ; 1.31 ; 0 ; 36360 ; 99% ; 7213 ; 7213 ; 0.10 ; 1.20 ; 1 ; 0
cyclonedx-py requirements --pyproject tests/_data/infiles/requirements/pyproject.toml -o /dev/null tests/_data/infiles/requirements/with-hashes.txt ; 43 ; 0:01.38 ; 1.38 ; 0 ; 36436 ; 99% ; 7222 ; 7222 ; 0.10 ; 1.28 ; 1 ; 0
cyclonedx-py requirements --pyproject tests/_data/infiles/requirements/pyproject.toml -o /dev/null tests/_data/infiles/requirements/without-pinned-versions.txt ; 28 ; 0:01.46 ; 1.46 ; 0 ; 36380 ; 99% ; 7220 ; 7220 ; 0.11 ; 1.35 ; 1 ; 0
cyclonedx-py requirements --pyproject tests/_data/infiles/requirements/pyproject.toml -o /dev/null tests/_data/infiles/requirements/with-urls.txt ; 38 ; 0:01.57 ; 1.57 ; 0 ; 36176 ; 99% ; 7219 ; 7219 ; 0.11 ; 1.45 ; 1 ; 0
