#  %C   command line and arguments
#  %c   involuntary context switches
#  %E   elapsed real time (wall clock) in [hour:]min:sec
#  %e   elapsed real time (wall clock) in seconds
#  %F   major page faults
#  %M   maximum resident set size in KB
#  %P   percent of CPU this job got
#  %R   minor page faults
#  %S   system (kernel) time in seconds
#  %U   user time in seconds
#  %w   voluntary context switches
#  %x   exit status of command
# %C ; %c ; %E ; %e ; %F ; %M ; %P ; %R ; %R ; %S ; %U ; %w ; %x
cyclonedx-py pipenv -o /dev/null --pyproject tests/_data/infiles/pipenv/private-packages/pyproject.toml tests/_data/infiles/pipenv/private-packages ; 8 ; 0:01.08 ; 1.08 ; 0 ; 38428 ; 99% ; 7698 ; 7698 ; 0.11 ; 0.96 ; 1 ; 0
cyclonedx-py pipenv -o /dev/null --pyproject tests/_data/infiles/pipenv/with-extras/pyproject.toml tests/_data/infiles/pipenv/with-extras ; 14 ; 0:01.24 ; 1.24 ; 0 ; 38704 ; 99% ; 7748 ; 7748 ; 0.14 ; 1.10 ; 1 ; 0
cyclonedx-py pipenv -o /dev/null --pyproject tests/_data/infiles/pipenv/with-urls/pyproject.toml tests/_data/infiles/pipenv/with-urls ; 26 ; 0:01.16 ; 1.16 ; 0 ; 38568 ; 99% ; 7716 ; 7716 ; 0.09 ; 1.07 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/group-deps/lock11 ; 8 ; 0:01.13 ; 1.13 ; 0 ; 38440 ; 99% ; 7687 ; 7687 ; 0.11 ; 1.01 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/group-deps/lock20 ; 10 ; 0:01.10 ; 1.10 ; 0 ; 38372 ; 99% ; 7688 ; 7688 ; 0.07 ; 1.03 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/local/lock10 ; 7 ; 0:01.07 ; 1.07 ; 0 ; 38368 ; 99% ; 7681 ; 7681 ; 0.09 ; 0.97 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/local/lock11 ; 5 ; 0:01.07 ; 1.07 ; 0 ; 38400 ; 99% ; 7680 ; 7680 ; 0.10 ; 0.97 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/local/lock20 ; 15 ; 0:01.10 ; 1.10 ; 0 ; 38420 ; 100% ; 7683 ; 7683 ; 0.08 ; 1.01 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/main-and-dev/lock10 ; 5 ; 0:01.09 ; 1.09 ; 0 ; 38376 ; 99% ; 7690 ; 7690 ; 0.07 ; 1.01 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/main-and-dev/lock11 ; 14 ; 0:01.10 ; 1.10 ; 0 ; 38372 ; 99% ; 7686 ; 7686 ; 0.07 ; 1.02 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/main-and-dev/lock20 ; 6 ; 0:01.10 ; 1.10 ; 0 ; 38224 ; 99% ; 7687 ; 7687 ; 0.07 ; 1.03 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/no-deps/lock20 ; 9 ; 0:01.13 ; 1.13 ; 0 ; 39152 ; 99% ; 7896 ; 7896 ; 0.08 ; 1.04 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/private-packges/lock10 ; 5 ; 0:01.08 ; 1.08 ; 0 ; 38224 ; 99% ; 7677 ; 7677 ; 0.08 ; 0.99 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/private-packges/lock11 ; 15 ; 0:01.18 ; 1.18 ; 0 ; 38564 ; 99% ; 7718 ; 7718 ; 0.09 ; 1.08 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/private-packges/lock20 ; 7 ; 0:01.21 ; 1.21 ; 0 ; 38372 ; 99% ; 7714 ; 7714 ; 0.12 ; 1.08 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/regression-issue611/lock20 ; 5 ; 0:01.07 ; 1.07 ; 0 ; 38420 ; 99% ; 7675 ; 7675 ; 0.10 ; 0.97 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/with-extras/lock10 ; 9 ; 0:01.09 ; 1.09 ; 0 ; 38380 ; 99% ; 7694 ; 7694 ; 0.11 ; 0.98 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/with-extras/lock11 ; 8 ; 0:01.12 ; 1.12 ; 0 ; 38436 ; 100% ; 7699 ; 7699 ; 0.08 ; 1.04 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/with-extras/lock20 ; 10 ; 0:01.14 ; 1.14 ; 0 ; 39424 ; 99% ; 7915 ; 7915 ; 0.10 ; 1.03 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/with-urls/lock10 ; 12 ; 0:01.09 ; 1.09 ; 0 ; 38328 ; 99% ; 7681 ; 7681 ; 0.10 ; 0.98 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/with-urls/lock11 ; 9 ; 0:01.08 ; 1.08 ; 0 ; 38324 ; 99% ; 7682 ; 7682 ; 0.07 ; 1.00 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/with-urls/lock20 ; 5 ; 0:01.09 ; 1.09 ; 0 ; 38372 ; 99% ; 7682 ; 7682 ; 0.06 ; 1.03 ; 1 ; 0
cyclonedx-py requirements --pyproject tests/_data/infiles/requirements/pyproject.toml -o /dev/null tests/_data/infiles/requirements/frozen.txt ; 9 ; 0:01.15 ; 1.15 ; 0 ; 39268 ; 99% ; 7898 ; 7898 ; 0.06 ; 1.08 ; 1 ; 0
cyclonedx-py requirements --pyproject tests/_data/infiles/requirements/pyproject.toml -o /dev/null tests/_data/infiles/requirements/local.txt ; 10 ; 0:01.15 ; 1.15 ; 0 ; 39104 ; 99% ; 7903 ; 7903 ; 0.07 ; 1.08 ; 1 ; 0
cyclonedx-py requirements --pyproject tests/_data/infiles/requirements/pyproject.toml -o /dev/null tests/_data/infiles/requirements/nested.txt ; 7 ; 0:01.14 ; 1.14 ; 0 ; 39444 ; 99% ; 7901 ; 7901 ; 0.05 ; 1.08 ; 1 ; 0
cyclonedx-py requirements --pyproject tests/_data/infiles/requirements/pyproject.toml -o /dev/null tests/_data/infiles/requirements/private-packages.txt ; 24 ; 0:01.14 ; 1.14 ; 0 ; 39264 ; 99% ; 7898 ; 7898 ; 0.09 ; 1.04 ; 1 ; 0
cyclonedx-py requirements --pyproject tests/_data/infiles/requirements/pyproject.toml -o /dev/null tests/_data/infiles/requirements/with-comments.txt ; 20 ; 0:01.18 ; 1.18 ; 0 ; 39132 ; 99% ; 7896 ; 7896 ; 0.08 ; 1.09 ; 1 ; 0
cyclonedx-py requirements --pyproject tests/_data/infiles/requirements/pyproject.toml -o /dev/null tests/_data/infiles/requirements/with-extras.txt ; 31 ; 0:01.32 ; 1.32 ; 0 ; 39188 ; 99% ; 7897 ; 7897 ; 0.11 ; 1.20 ; 1 ; 0
cyclonedx-py requirements --pyproject tests/_data/infiles/requirements/pyproject.toml -o /dev/null tests/_data/infiles/requirements/with-hashes.txt ; 15 ; 0:01.40 ; 1.40 ; 0 ; 39352 ; 99% ; 7902 ; 7902 ; 0.12 ; 1.27 ; 1 ; 0
cyclonedx-py requirements --pyproject tests/_data/infiles/requirements/pyproject.toml -o /dev/null tests/_data/infiles/requirements/without-pinned-versions.txt ; 38 ; 0:01.26 ; 1.26 ; 0 ; 39276 ; 99% ; 7898 ; 7898 ; 0.13 ; 1.13 ; 1 ; 0
cyclonedx-py requirements --pyproject tests/_data/infiles/requirements/pyproject.toml -o /dev/null tests/_data/infiles/requirements/with-urls.txt ; 6 ; 0:01.19 ; 1.19 ; 0 ; 39328 ; 99% ; 7902 ; 7902 ; 0.10 ; 1.08 ; 1 ; 0
