#  %C   command line and arguments
#  %c   involuntary context switches
#  %E   elapsed real time (wall clock) in [hour:]min:sec
#  %e   elapsed real time (wall clock) in seconds
#  %F   major page faults
#  %M   maximum resident set size in KB
#  %P   percent of CPU this job got
#  %R   minor page faults
#  %S   system (kernel) time in seconds
#  %U   user time in seconds
#  %w   voluntary context switches
#  %x   exit status of command
# %C ; %c ; %E ; %e ; %F ; %M ; %P ; %R ; %R ; %S ; %U ; %w ; %x
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/main-and-dev/lock20 ; 16 ; 0:01.16 ; 1.16 ; 0 ; 38312 ; 99% ; 7688 ; 7688 ; 0.09 ; 1.06 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/no-deps/lock20 ; 38 ; 0:01.28 ; 1.28 ; 0 ; 39252 ; 99% ; 7897 ; 7897 ; 0.10 ; 1.17 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/private-packges/lock10 ; 59 ; 0:01.19 ; 1.19 ; 0 ; 38196 ; 99% ; 7678 ; 7678 ; 0.07 ; 1.11 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/private-packges/lock11 ; 11 ; 0:01.19 ; 1.19 ; 0 ; 38504 ; 99% ; 7715 ; 7715 ; 0.09 ; 1.10 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/private-packges/lock20 ; 21 ; 0:01.20 ; 1.20 ; 0 ; 38340 ; 99% ; 7716 ; 7716 ; 0.10 ; 1.09 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/regression-issue611/lock20 ; 12 ; 0:01.11 ; 1.11 ; 0 ; 38356 ; 99% ; 7676 ; 7676 ; 0.10 ; 1.00 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/with-extras/lock10 ; 10 ; 0:01.14 ; 1.14 ; 0 ; 38436 ; 99% ; 7691 ; 7691 ; 0.12 ; 1.01 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/with-extras/lock11 ; 9 ; 0:01.15 ; 1.15 ; 0 ; 38492 ; 99% ; 7694 ; 7694 ; 0.10 ; 1.04 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/with-extras/lock20 ; 18 ; 0:01.22 ; 1.22 ; 0 ; 39224 ; 99% ; 7915 ; 7915 ; 0.11 ; 1.10 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/with-urls/lock10 ; 16 ; 0:01.13 ; 1.13 ; 0 ; 38420 ; 99% ; 7680 ; 7680 ; 0.11 ; 1.01 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/with-urls/lock11 ; 23 ; 0:01.07 ; 1.07 ; 0 ; 38444 ; 99% ; 7684 ; 7684 ; 0.08 ; 0.99 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/with-urls/lock20 ; 8 ; 0:01.09 ; 1.09 ; 0 ; 38372 ; 99% ; 7680 ; 7680 ; 0.10 ; 0.99 ; 1 ; 0
cyclonedx-py requirements --pyproject tests/_data/infiles/requirements/pyproject.toml -o /dev/null tests/_data/infiles/requirements/frozen.txt ; 8 ; 0:01.13 ; 1.13 ; 0 ; 39152 ; 99% ; 7901 ; 7901 ; 0.08 ; 1.04 ; 1 ; 0
cyclonedx-py requirements --pyproject tests/_data/infiles/requirements/pyproject.toml -o /dev/null tests/_data/infiles/requirements/local.txt ; 26 ; 0:01.16 ; 1.16 ; 0 ; 39216 ; 99% ; 7904 ; 7904 ; 0.08 ; 1.07 ; 1 ; 0
cyclonedx-py requirements --pyproject tests/_data/infiles/requirements/pyproject.toml -o /dev/null tests/_data/infiles/requirements/nested.txt ; 5 ; 0:01.15 ; 1.15 ; 0 ; 39184 ; 99% ; 7901 ; 7901 ; 0.12 ; 1.02 ; 1 ; 0
cyclonedx-py requirements --pyproject tests/_data/infiles/requirements/pyproject.toml -o /dev/null tests/_data/infiles/requirements/private-packages.txt ; 7 ; 0:01.13 ; 1.13 ; 0 ; 39300 ; 100% ; 7898 ; 7898 ; 0.09 ; 1.04 ; 1 ; 0
cyclonedx-py requirements --pyproject tests/_data/infiles/requirements/pyproject.toml -o /dev/null tests/_data/infiles/requirements/with-comments.txt ; 30 ; 0:01.14 ; 1.14 ; 0 ; 39180 ; 99% ; 7897 ; 7897 ; 0.09 ; 1.05 ; 1 ; 0
cyclonedx-py requirements --pyproject tests/_data/infiles/requirements/pyproject.toml -o /dev/null tests/_data/infiles/requirements/with-extras.txt ; 4 ; 0:01.13 ; 1.13 ; 0 ; 39312 ; 99% ; 7898 ; 7898 ; 0.07 ; 1.06 ; 1 ; 0
cyclonedx-py requirements --pyproject tests/_data/infiles/requirements/pyproject.toml -o /dev/null tests/_data/infiles/requirements/with-hashes.txt ; 33 ; 0:01.17 ; 1.17 ; 0 ; 39268 ; 99% ; 7905 ; 7905 ; 0.08 ; 1.08 ; 1 ; 0
cyclonedx-py requirements --pyproject tests/_data/infiles/requirements/pyproject.toml -o /dev/null tests/_data/infiles/requirements/without-pinned-versions.txt ; 5 ; 0:01.16 ; 1.16 ; 0 ; 39308 ; 99% ; 7898 ; 7898 ; 0.13 ; 1.02 ; 1 ; 0
cyclonedx-py requirements --pyproject tests/_data/infiles/requirements/pyproject.toml -o /dev/null tests/_data/infiles/requirements/with-urls.txt ; 12 ; 0:01.15 ; 1.15 ; 0 ; 39340 ; 99% ; 7904 ; 7904 ; 0.12 ; 1.02 ; 1 ; 0
cyclonedx-py environment -o /dev/null --pyproject tests/_data/infiles/environment/editable-self/pyproject.toml tests/_data/infiles/environment/editable-self/.venv ; 63 ; 0:01.64 ; 1.64 ; 0 ; 38192 ; 99% ; 9008 ; 9008 ; 0.17 ; 1.46 ; 5 ; 0
cyclonedx-py environment -o /dev/null --pyproject tests/_data/infiles/environment/local/pyproject.toml tests/_data/infiles/environment/local/.venv ; 29 ; 0:01.62 ; 1.62 ; 0 ; 38300 ; 99% ; 8803 ; 8803 ; 0.14 ; 1.47 ; 4 ; 0
cyclonedx-py environment -o /dev/null --pyproject tests/_data/infiles/environment/no-deps/pyproject.toml tests/_data/infiles/environment/no-deps/.venv ; 45 ; 0:01.72 ; 1.72 ; 0 ; 39272 ; 99% ; 9004 ; 9004 ; 0.13 ; 1.59 ; 6 ; 0
cyclonedx-py environment -o /dev/null --pyproject tests/_data/infiles/environment/via-pipenv/pyproject.toml tests/_data/infiles/environment/via-pipenv/.venv ; 24 ; 0:01.59 ; 1.59 ; 0 ; 39052 ; 99% ; 9024 ; 9024 ; 0.14 ; 1.44 ; 5 ; 0
cyclonedx-py environment -o /dev/null --pyproject tests/_data/infiles/environment/via-poetry/pyproject.toml tests/_data/infiles/environment/via-poetry/.venv ; 70 ; 0:01.56 ; 1.56 ; 0 ; 38972 ; 99% ; 9029 ; 9029 ; 0.12 ; 1.43 ; 6 ; 0
cyclonedx-py environment -o /dev/null --pyproject tests/_data/infiles/environment/with-extras/pyproject.toml tests/_data/infiles/environment/with-extras/.venv ; 87 ; 0:01.83 ; 1.83 ; 0 ; 39372 ; 99% ; 9036 ; 9036 ; 0.13 ; 1.69 ; 5 ; 0
cyclonedx-py environment -o /dev/null --pyproject tests/_data/infiles/environment/with-urls/pyproject.toml tests/_data/infiles/environment/with-urls/.venv ; 62 ; 0:01.54 ; 1.54 ; 0 ; 38296 ; 99% ; 8794 ; 8794 ; 0.13 ; 1.40 ; 6 ; 0
